question_id,is_correct,n_steps,depth,n_arithmetic,n_facts,n_conclude,frac_arithmetic,frac_facts,unsupported_arithmetic,unsupported_conclude,conclude_in_degree,max_out_degree,mean_out_degree,mean_in_degree,orphan_nodes
gsm-hard-22,True,7,5,5,1,1,0.7142857142857143,0.14285714285714285,0,0,1,2,0.8571428571428571,0.8571428571428571,1
gsm-hard-23,False,11,6,7,2,1,0.6363636363636364,0.18181818181818182,0,0,1,3,1.0909090909090908,1.0909090909090908,1
gsm-hard-24,True,7,3,2,3,1,0.2857142857142857,0.42857142857142855,0,0,1,1,0.8571428571428571,0.8571428571428571,0
gsm-hard-25,True,7,4,2,3,1,0.2857142857142857,0.42857142857142855,0,0,1,2,0.8571428571428571,0.8571428571428571,1
gsm-hard-26,True,8,4,5,2,1,0.625,0.25,0,0,1,2,1.125,1.125,0
gsm-hard-27,False,8,5,3,2,1,0.375,0.25,0,0,1,2,1.0,1.0,0
gsm-hard-28,True,6,3,2,3,1,0.3333333333333333,0.5,0,0,1,1,0.8333333333333334,0.8333333333333334,0
gsm-hard-29,True,10,7,8,1,1,0.8,0.1,0,0,1,3,1.2,1.2,0
gsm-hard-30,True,8,4,3,3,1,0.375,0.375,0,0,1,3,1.125,1.125,0
gsm-hard-31,False,9,5,5,2,1,0.5555555555555556,0.2222222222222222,0,0,2,2,1.2222222222222223,1.2222222222222223,0
gsm-hard-32,True,9,5,4,4,1,0.4444444444444444,0.4444444444444444,0,0,1,1,0.8888888888888888,0.8888888888888888,0
gsm-hard-33,True,6,3,2,3,1,0.3333333333333333,0.5,0,0,1,1,0.8333333333333334,0.8333333333333334,0
gsm-hard-34,True,7,4,4,2,1,0.5714285714285714,0.2857142857142857,0,0,1,1,0.8571428571428571,0.8571428571428571,0
gsm-hard-35,True,5,4,3,1,1,0.6,0.2,0,0,1,2,1.0,1.0,0
gsm-hard-36,True,7,5,3,2,1,0.42857142857142855,0.2857142857142857,0,0,1,2,1.0,1.0,0
gsm-hard-37,True,8,5,3,3,1,0.375,0.375,0,0,1,1,0.875,0.875,0
gsm-hard-38,True,7,3,3,3,1,0.42857142857142855,0.42857142857142855,0,0,1,1,0.8571428571428571,0.8571428571428571,0
gsm-hard-39,False,5,4,2,1,1,0.4,0.2,0,0,2,2,1.2,1.2,0
gsm-hard-40,True,11,7,4,4,1,0.36363636363636365,0.36363636363636365,0,0,2,2,1.0,1.0,0
gsm-hard-41,True,8,5,4,3,1,0.5,0.375,0,0,1,1,0.875,0.875,0
gsm-hard-42,False,9,5,3,3,1,0.3333333333333333,0.3333333333333333,0,0,3,2,1.2222222222222223,1.2222222222222223,0
gsm-hard-43,False,15,9,9,2,1,0.6,0.13333333333333333,0,0,1,3,1.0666666666666667,1.0666666666666667,1
gsm-hard-44,True,7,4,4,2,1,0.5714285714285714,0.2857142857142857,0,0,1,2,1.1428571428571428,1.1428571428571428,0
gsm-hard-45,True,8,3,4,3,1,0.5,0.375,0,0,1,1,0.875,0.875,0
gsm-hard-46,True,7,5,4,1,1,0.5714285714285714,0.14285714285714285,0,0,1,2,1.1428571428571428,1.1428571428571428,0
gsm-hard-47,True,11,5,4,4,1,0.36363636363636365,0.36363636363636365,0,0,1,2,1.0909090909090908,1.0909090909090908,0
gsm-hard-48,False,18,8,13,4,1,0.7222222222222222,0.2222222222222222,0,0,1,3,1.2777777777777777,1.2777777777777777,0
gsm-hard-49,False,8,4,4,3,1,0.5,0.375,0,0,1,2,1.125,1.125,0
gsm-hard-b2-0,False,8,4,4,3,1,0.5,0.375,0,0,1,2,1.125,1.125,0
gsm-hard-b2-1,False,9,8,5,1,1,0.5555555555555556,0.1111111111111111,0,0,2,2,1.0,1.0,0
gsm-hard-b2-2,False,9,7,4,2,1,0.4444444444444444,0.2222222222222222,0,0,2,2,1.1111111111111112,1.1111111111111112,0
gsm-hard-b2-3,False,6,4,2,1,1,0.3333333333333333,0.16666666666666666,0,0,2,3,1.6666666666666667,1.6666666666666667,0
gsm-hard-b2-4,True,6,4,2,2,1,0.3333333333333333,0.3333333333333333,0,0,2,2,1.0,1.0,0
gsm-hard-b2-5,True,8,4,2,3,1,0.25,0.375,0,0,3,2,1.125,1.125,0
gsm-hard-b2-6,False,12,7,7,3,1,0.5833333333333334,0.25,0,0,1,3,1.0833333333333333,1.0833333333333333,0
gsm-hard-b2-7,True,7,4,3,3,1,0.42857142857142855,0.42857142857142855,0,0,1,1,0.8571428571428571,0.8571428571428571,0
gsm-hard-b2-8,False,8,4,4,3,1,0.5,0.375,0,0,1,2,1.125,1.125,0
gsm-hard-b2-9,False,12,4,6,4,1,0.5,0.3333333333333333,0,0,1,2,1.0833333333333333,1.0833333333333333,1
gsm-hard-b2-10,False,10,5,5,3,1,0.5,0.3,0,0,1,2,1.0,1.0,0
gsm-hard-b2-11,True,8,4,3,4,1,0.375,0.5,0,0,1,1,0.875,0.875,0
gsm-hard-b2-12,True,6,3,2,3,1,0.3333333333333333,0.5,0,0,1,1,0.8333333333333334,0.8333333333333334,0
gsm-hard-b2-13,True,9,6,4,3,1,0.4444444444444444,0.3333333333333333,0,0,2,2,1.1111111111111112,1.1111111111111112,0
gsm-hard-b2-14,False,9,5,3,4,1,0.3333333333333333,0.4444444444444444,0,0,1,2,1.0,1.0,0
gsm-hard-b2-15,True,5,3,2,2,1,0.4,0.4,0,0,1,2,1.0,1.0,0
gsm-hard-b2-16,True,7,4,3,3,1,0.42857142857142855,0.42857142857142855,0,0,1,1,0.8571428571428571,0.8571428571428571,0
gsm-hard-b2-17,True,6,3,2,3,1,0.3333333333333333,0.5,0,0,1,1,0.8333333333333334,0.8333333333333334,0
gsm-hard-b2-18,True,6,4,2,2,1,0.3333333333333333,0.3333333333333333,0,0,1,1,0.8333333333333334,0.8333333333333334,0
gsm-hard-b2-19,True,8,4,5,2,1,0.625,0.25,0,0,1,2,1.125,1.125,0
gsm-hard-b2-20,True,6,3,2,3,1,0.3333333333333333,0.5,0,0,1,2,1.0,1.0,0
gsm-hard-b2-21,False,13,5,6,6,1,0.46153846153846156,0.46153846153846156,0,0,1,1,0.9230769230769231,0.9230769230769231,0
